Commune,Code postal,Code INSEE,Departement,Code departement,Code region,Êtes-vous indépendant ?,Où vendez-vous vos produits / services ?,"Pouvez-vous préciser, dans quel(s) lieu(x) intervenez-vous ?(Plusieurs réponses sont possibles)",Dans quelle ville intervenez-vous le plus régulièrement ? (Renseigner le code postal),Dans quelle ville travaillez-vous le plus régulièrement ? (Renseigner le code postal),Quelle est la catégorie de votre commerce ?,Pouvez vous préciser ? (5),Pouvez vous préciser ? (6),Pouvez vous préciser ? (7),Pouvez vous préciser ? (9),Pouvez vous préciser ? (4),Pouvez vous préciser ? (1),Pouvez vous préciser ?,Pouvez vous préciser ? (8),Pouvez vous préciser ? (3),Pouvez vous préciser ? (2),Que propose votre commerce ? (Plusieurs réponses sont possibles),Travaillez-vous seul ?,Êtes-vous en contact direct avec des clients ?,"Hors période de fêtes, quelle est la fréquentation moyenne de votre commerce par jour ? (en nombre de personnes)",Avez-vous l'habitude de discuter avec vos clients en dehors du cadre strict de la vente ? (exemple : prendre des nouvelles personnelles),À quelle fréquence donnez-vous des explications approfondies sur vos produits à vos clients ? Cela peut aussi concerner des démonstrations.,"Dans certains cas, vous pouvez être susceptible d'organiser, à l'intérieur de votre magasin, des séances d'information, démonstrations ou ateliers (explications approfondies d'utilisation de vos produits, transmission de connaissances, etc.).Combien en organisez-vous par an ? (Si vous n'en organisez aucune, mettre '0')",Utilisez-vous des techniques traditionnelles et/ou artisanales pour fabriquer vos produits ?,Collaborez-vous avec des associations locales ? Par exemple des associations de quartier ou d'aide humanitaire.(Plusieurs réponses sont possibles),"Etes-vous sollicité par des personnes en situation de précarité dans le cadre de votre activité commerciale ?Cela peut être pour un café, de l'eau ou pour utiliser des toilettes.","Lorsque vous êtes sollicité par quelqu'un en situation de précarité, quel type d'aide proposez-vous ? (Plusieurs réponses sont possibles)",Pouvez-vous préciser ?,"Certaines personnes rentrent dans un magasin pour acheter un produit, mais aussi pour se sentir moins seules. Il se peut que certains de vos clients vous confient leurs problématiques personnelles. A quelle fréquence échangez-vous sur ces sujets privés ?",Vous arrive-t-il de rediriger un client vers une aide extérieure ?,A quelle fréquence cela vous arrive-t-il ?,"Les fêtes de quartier, marchés de Noël et d'autres évènements permettent de dynamiser la vie du quartier. Les commerçants y sont très souvent impliqués. Participez-vous à l'organisation de ce genre d'évènement ? Si oui, combien de fois par an ?Marquez ""0"" si vous n'avez pas l'habitude d'organiser ce genre d'évènement.",Faites-vous partie d'un réseau ou d'une association de commerçants ?,Collaborez-vous avec des commerçants ayant un espace de vente plus conséquent (un espace pour vendre/revendre vos produits ou abriter vos services) ?,L'entraide entre commerçants permet de faire face à des difficultés et constitue un réseau d'échange de services. Quels services avez-vous l'habitude de rendre à vos collègues commerçants ? (Plusieurs réponses sont possibles),Pouvez-vous préciser ? (6),"De même, il peut exister une entraide avec les habitants de l'immeuble dans lequel se situe votre commerce. Quels services avez-vous l'habitude de rendre aux habitants de votre immeuble ?",Pouvez-vous préciser ? (5),"Faites-vous appel ou collaborez-vous avec des commerçants indépendants sans pas-de-porte fixe (exemples : un artisan n'ayant pas de local dédié, un commerçant ambulant) ?",Dans quel(s) domaine(s) ?(Plusieurs réponses sont possibles),"Un vol, une bagarre ou une agression peuvent malheureusement avoir lieu à proximité de votre lieu d'activité. Lorsque cela arrive, comment réagissez-vous ?","A quelle fréquence intervenez-vous dans des situations d'insécurité (vols, bagarres, agressions) ?","Un cycliste qui tombe, une personne âgée qui glisse, un accident de voiture… Ce sont des exemples de situations pouvant avoir eu lieu à proximité de votre lieu d'activité. À quelle fréquence venez-vous en aide à une personne accidentée ou ayant fait un malaise ?","L'espace public peut être le lieu où se déroule une série de situations portant attente à la sécurité des citoyens – harcèlement de rue, vol, agression physique, sexuelle ou verbale, etc. Suite à un de ces évènements, les personnes victimes rentrent dans des commerces pour se sentir en sécurité. À quelle fréquence avez-vous affaire à ce genre de situation ?",Proposez-vous au sein de votre commerce des solutions de recyclage ?(Plusieurs réponses sont possibles),Pouvez-vous préciser ? (2),Mettez-vous en œuvre des actions visant à réduire les déchets de votre commerce ? Ou bien des actions pour réduire les déchets engendrés par l'achat de vos produits ?(Plusieurs réponses sont possibles),Pouvez-vous préciser ? (1),Avez-vous installé des équipements pour réduire la consommation d'eau ou d'électricité de votre commerce ?(Plusieurs réponses sont possibles),Pouvez-vous préciser ? (3),Que proposez-vous à vos clients pour limiter l'impact environnemental de leur consommation ?(Plusieurs réponses sont possibles),Pouvez-vous préciser ? (4),Vous arrive-t-il d'interpeller les services techniques de la mairie suite à du matériel défectueux ou une dégradation de l'espace public environnant (exemples : lampadaire défectueux ou tags) ?,"Nettoyez-vous les abords extérieurs de votre commerce ? (exemples : coup de balai, ramassage de déchets)","Certains commerces, surtout ceux situés en centre-ville, font partie du patrimoine architectural. La façade ou les murs sont parfois classés. Est-ce que votre commerce se situe dans un local classé au patrimoine architectural ?",Êtes-vous impliqué dans des initiatives d'embellissement de la rue ?
PARIS 18,75018,75118,Paris,75,11,Oui,Dans un lieu de vente permanent / fixe,,,,Alimentaire,"Boucherie, charcuterie",,,,,,,,,,"Des produits fabriqués ou élaborés par moi(nous)-même(s),Des produits fabriqués ou élaborés par d'autres","Non, je travaille avec des salariés / associés",Oui,100 et 200,Très régulièrement (plusieurs fois par jour),Très régulièrement (plusieurs fois par jour),0,Oui,"Oui, avec de associations culturelles",Rarement (1 à 2 fois par mois),Don de nourriture ou eau,,Très régulièrement (plusieurs fois par jour),Je n'oriente pas ou alors rarement,,0,Non je ne fais partie d'aucune organisation,Oui,"Je garde un oeil sur le magasin de mes collègues,Autres",Partage et prêt de matériel,Je connais les habitants mais je n'ai pas l'occasion de rendre ces services,,Non,,Je n'interviens jamais dans ce genre de situation,,Rarement (1 à 2 fois par an),Jamais,Le recyclage est compliqué à mettre en oeuvre et/ou ne fait pas partie de mes priorités,,"Mise à disposition d'emballages réutilisables : sacs en tissu, pots en verre, etc",,La réduction de la consommation d'eau ou d'électricité est compliquée à mettre en oeuvre et/ou ne fait pas partie de mes priorités,,Je ne communique pas sur le sujet,,Jamais,Régulièrement (3 à 5 fois par semaine),"Non, mon commerce ne se situe pas dans un bâtiment classé",Je n’ai pas mené d’initiative particulière
PARIS 14,75014,75114,Paris,75,11,Oui,Dans un lieu de vente permanent / fixe,,,,Equipement de la personne,,Maroquinerie et articles de voyage,,,,,,,,,"Des services,Des produits fabriqués ou élaborés par moi(nous)-même(s)","Oui, je travaille seul",Oui,1 à 20,Régulièrement (3 à 5 fois par semaine),Très régulièrement (plusieurs fois par jour),2,Oui,"Oui, avec de associations culturelles",Jamais,Autres,Pas de demande de ce genre,Ponctuellement (1 à 2 fois par semaine),Je n'oriente pas ou alors rarement,,2,Je fais partie d'une association de commerçants,Non,"Je réceptionne des colis pour d'autres commerçants de la rue,Je co-organise des évènements avec d'autres commerçants de ma ville,Je recommande et j'adresse des clients à d'autres commerces",,Je réceptionne des colis pour les habitants de mon immeuble,,Oui,Mode et maison,J'ai rarement ou jamais affaire à ce genre de situation,,Très rarement (moins d'une fois par an),Jamais,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,"Utilisation de contenants durables : en verre, inox ou bois,Choix de fournisseurs écoresponsables,Je recycle les déchets engendrés par la fabrication de mes produits. (exemples : recycler la cire d'abeille en la transformant en bougie ou bee wrap, recycler le pain en chapelure, réutiliser des chutes de vêtements)",,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,Je donne des conseils pratiques,,Rarement (1 à 2 fois par mois),Régulièrement (3 à 5 fois par semaine),"Non, mon commerce ne se situe pas dans un bâtiment classé",Je ne suis pas concerné par ce sujet dans le cadre de mon commerce
PARIS 19,75019,75119,Paris,75,11,Oui,Dans un lieu de vente permanent / fixe,,,,Divers,,,,,,Commerces spécialisés divers,,,,,"Des services, Des produits fabriqués ou élaborés par moi(nous)-même(s)","Oui, je travaille seul",Oui,1 à 20,Très régulièrement (plusieurs fois par jour),Très régulièrement (plusieurs fois par jour),0,Oui,Je n'ai pas l'habitude de collaborer avec des associations,Très rarement (moins d'une fois par mois),"Accès aux toilettes, Café ou thé",,Régulièrement (3 à 5 fois par semaine),Je n'oriente pas ou alors rarement,,0,Non je ne fais partie d'aucune organisation,Non,"Je réceptionne des colis pour d'autres commerçants de la rue, J'offre des réductions sur des produits lorsqu'un autre commerçant vient dans mon magasin, Je garde un oeil sur le magasin de mes collègues, Je recommande et j'adresse des clients à d'autres commerces",,"Je réceptionne des colis pour les habitants de mon immeuble, J'offre des réductions sur des produits lorsqu'un habitant de mon immeuble vient dans mon magasin",,Oui,"Art et culture, Mode et maison",J'agis dès que je vois quelque chose d'inhabituel. J'interviens directement ou j'appelle les forces de l'ordre,Rarement (1 à 2 fois par an),Très rarement (moins d'une fois par an),Rarement (1 à 2 fois par an),"Le recyclage est compliqué à mettre en oeuvre et/ou ne fait pas partie de mes priorités, Je ne suis pas concerné par ce sujet dans le cadre de mon commerce",,"Choix de fournisseurs écoresponsables, Autres","Tri, retour des contenants aux fournisseurs",Equipements économes en eau (exemple : robinets à faible débit),,"J'ai parfois des discussions informelles sur le sujet, Je donne des conseils pratiques",,Très rarement (moins d'une fois par mois),Très régulièrement (plusieurs fois par jour),"Non, mon commerce ne se situe pas dans un bâtiment classé",Je n’ai pas mené d’initiative particulière
EPINAY SUR SEINE,93800,93031,Seine-Saint-Denis,93,11,Oui,Dans un lieu de vente permanent / fixe,,,,"Hygiène, santé, beauté",,,,,Parfumerie et produits de beauté,,,,,,"Des services, Des produits fabriqués ou élaborés par moi(nous)-même(s)","Oui, je travaille seul",Oui,1 à 20,Rarement (1 à 2 fois par mois),Très rarement (moins d'une fois par mois),0,Oui,"Oui, avec des associations dans le domaine de l'environnement, Oui, avec des associations de quartier",Ponctuellement (1 à 2 fois par semaine),Don de produits d'hygiène,,Très rarement (moins d'une fois par mois),Je n'oriente pas ou alors rarement,,4,Non je ne fais partie d'aucune organisation,Non,Je recommande et j'adresse des clients à d'autres commerces,,Je connais les habitants mais je n'ai pas l'occasion de rendre ces services,,Oui,"Santé, bien-être et beauté",J'ai rarement ou jamais affaire à ce genre de situation,,Je ne sais pas,Jamais,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,"Mise à disposition d'emballages réutilisables : sacs en tissu, pots en verre, etc",,"Equipements économes en eau (exemple : robinets à faible débit), Equipements visant à réduire la consommation d'électricité (exemples : ampoules avec senseur de présence, multiprises avec timer)",,"J'ai des affiches et supports visuels, Je donne des conseils pratiques",,Jamais,Régulièrement (3 à 5 fois par semaine),"Non, mon commerce ne se situe pas dans un bâtiment classé",Je ne suis pas concerné par ce sujet dans le cadre de mon commerce
PARIS 11,75011,75111,Paris,75,11,Non,Dans un lieu de vente permanent / fixe,,,,"Culture, loisirs",,,,Jeux et jouets,,,,,,,Des services,"Non, je travaille avec des salariés / associés",Oui,20 à 50,Très régulièrement (plusieurs fois par jour),Très régulièrement (plusieurs fois par jour),300,,Je n'ai pas l'habitude de collaborer avec des associations,Très rarement (moins d'une fois par mois),"Accès aux toilettes, Café ou thé",,Ponctuellement (1 à 2 fois par semaine),Je n'oriente pas ou alors rarement,,0,Je fais partie d'une association de commerçants,Non,"J'offre des réductions sur des produits lorsqu'un autre commerçant vient dans mon magasin, Je recommande et j'adresse des clients à d'autres commerces",,Je connais les habitants mais je n'ai pas l'occasion de rendre ces services,,Non,,J'ai rarement ou jamais affaire à ce genre de situation,,Jamais,Jamais,Bornes de recyclage traditionnelles : carton et tout venant,,"Utilisation de contenants durables : en verre, inox ou bois, Choix de fournisseurs écoresponsables",,Autres,,Je ne communique pas sur le sujet,,Jamais,Très rarement (moins d'une fois par mois),"Non, mon commerce ne se situe pas dans un bâtiment classé",Je n’ai pas mené d’initiative particulière
ELBEUF,76500,76231,Seine-Maritime,76,28,,Dans un lieu de vente permanent / fixe,,,,"Culture, loisirs",,,,Jeux et jouets,,,,,,,Des produits fabriqués ou élaborés par d'autres,,Oui,1 à 20,Régulièrement (3 à 5 fois par semaine),Très régulièrement (plusieurs fois par jour),35,,Je n'ai pas l'habitude de collaborer avec des associations,Jamais,Autres,,Ponctuellement (1 à 2 fois par semaine),Je n'oriente pas ou alors rarement,,4,Je fais partie d'une association de commerçants,,Je connais les autres commerçants mais je n'ai pas l'occasion de rendre ces services,,Autres,,Non,,J'agis dès que je vois quelque chose d'inhabituel. J'interviens directement ou j'appelle les forces de l'ordre,Ponctuellement (1 à 2 fois par mois),Jamais,Jamais,Autres,,Autres,,La réduction de la consommation d'eau ou d'électricité est compliquée à mettre en oeuvre et/ou ne fait pas partie de mes priorités,,Je ne communique pas sur le sujet,,Très rarement (moins d'une fois par mois),Jamais,"Non, mon commerce ne se situe pas dans un bâtiment classé",Je n’ai pas mené d’initiative particulière
LE TRAIT,76580,76709,Seine-Maritime,76,28,Oui,Dans un lieu de vente permanent / fixe,,,,Divers,,,,,,Commerces spécialisés divers,,,,,Des produits fabriqués ou élaborés par moi(nous)-même(s),"Non, je travaille avec des salariés / associés",Oui,1 à 20,Très régulièrement (plusieurs fois par jour),Régulièrement (3 à 5 fois par semaine),1,Oui,"Oui, avec des associations de quartier",Très rarement (moins d'une fois par mois),"Accès aux toilettes, Don de nourriture ou eau",,Ponctuellement (1 à 2 fois par semaine),Je n'oriente pas ou alors rarement,,0,Je fais partie d'une association de commerçants,Non,Je connais les autres commerçants mais je n'ai pas l'occasion de rendre ces services,,Je n'ai pas de voisins d'immeuble dans le cadre de mon commerce,,Non,,J'ai rarement ou jamais affaire à ce genre de situation,,Très rarement (moins d'une fois par an),Jamais,Autres,,"Compost, Utilisation de contenants durables : en verre, inox ou bois, Choix de fournisseurs écoresponsables, Autres",Récupération d’eau de pluie,"Equipements visant à réduire la consommation d'électricité (exemples : ampoules avec senseur de présence, multiprises avec timer), Autres",,Autres,,Jamais,Ponctuellement (1 à 2 fois par semaine),"Non, mon commerce ne se situe pas dans un bâtiment classé",Je ne suis pas concerné par ce sujet dans le cadre de mon commerce
ST OUEN SUR SEINE,93400,93070,Seine-Saint-Denis,93,11,Oui,Dans un lieu de vente permanent / fixe,,,,Alimentaire,Alimentaire spécialisé divers,,,,,,,,,,Des produits fabriqués ou élaborés par d'autres,"Non, je travaille avec des salariés / associés",Oui,50 à 100,Très régulièrement (plusieurs fois par jour),Très régulièrement (plusieurs fois par jour),30,,"Oui, avec des associations d'aide sociale et/ou humanitaire",Rarement (1 à 2 fois par mois),Don de nourriture ou eau,,Très régulièrement (plusieurs fois par jour),"Oui, vers des services sociaux / assistante sociale,Oui, vers les services de police ou gendarmerie",Ponctuellement (1 à 2 fois par semaine),0,Non je ne fais partie d'aucune organisation,Oui,J'offre des réductions sur des produits lorsqu'un autre commerçant vient dans mon magasin,,"Je réceptionne des colis pour les habitants de mon immeuble,Autres",don de produits passés de date,Non,,J'agis dès que je vois quelque chose d'inhabituel. J'interviens directement ou j'appelle les forces de l'ordre,Rarement (1 à 2 fois par an),Rarement (1 à 2 fois par an),Jamais,Autres,"je propose à mes clients de réutiliser cagettes fromage, boîte isotherme, mousses …","Compost,Mise à disposition d'emballages réutilisables : sacs en tissu, pots en verre, etc,Utilisation de contenants durables : en verre, inox ou bois",,"Equipements visant à réduire la consommation d'électricité (exemples : ampoules avec senseur de présence, multiprises avec timer)",,"Je donne des conseils pratiques,Autres",je propose aux clients de venir avec leur contenant.,Jamais,Ponctuellement (1 à 2 fois par semaine),"Non, mon commerce ne se situe pas dans un bâtiment classé",Je ne suis pas concerné par ce sujet dans le cadre de mon commerce
,,,,,,Oui,Je n'ai pas d'espace dédié (déplacements à domicile ou présence en ligne uniquement),Autres,,75000,Autres services,,,,,,,,,Services financiers,,Des produits fabriqués ou élaborés par d'autres,"Non, je travaille avec des salariés / associés",Oui,1 à 20,Ponctuellement (1 à 2 fois par semaine),Très régulièrement (plusieurs fois par jour),,,"Oui, avec de associations culturelles",,"Accès aux toilettes, Café ou thé",,Ponctuellement (1 à 2 fois par semaine),Je n'oriente pas ou alors rarement,,2,Je fais partie d'un club d'entrepreneurs local,Non,"Je réceptionne des colis pour d'autres commerçants de la rue, J'offre des réductions sur des produits lorsqu'un autre commerçant vient dans mon magasin, Je garde un oeil sur le magasin de mes collègues, Je recommande et j'adresse des clients à d'autres commerces",,,,Oui,Réparation et entretien,Je n'interviens que si la situation est grave,Rarement (1 à 2 fois par an),Rarement (1 à 2 fois par an),,Le recyclage est compliqué à mettre en oeuvre et/ou ne fait pas partie de mes priorités,,La réduction des déchets est compliquée à mettre en oeuvre et/ou ne fait pas partie de mes priorités,,Equipements économes en eau (exemple : robinets à faible débit),,"J'ai parfois des discussions informelles sur le sujet, Je donne des conseils pratiques",,,,,
DORNECY,58530,58103,Nièvre,58,27,Oui,Dans un lieu de vente permanent / fixe,,,,Alimentaire,Alimentaire spécialisé divers,,,,,,,,,,"Des services, Des produits fabriqués ou élaborés par moi(nous)-même(s), Des produits fabriqués ou élaborés par d'autres","Oui, je travaille seul",Oui,1 à 20,Très régulièrement (plusieurs fois par jour),Très régulièrement (plusieurs fois par jour),50,Oui,Je n'ai pas l'habitude de collaborer avec des associations,Très rarement (moins d'une fois par mois),Autres,,Très régulièrement (plusieurs fois par jour),"Oui, vers des services sociaux / assistante sociale, Oui, vers les services de police ou gendarmerie, Oui, vers des services de santé",Ponctuellement (1 à 2 fois par semaine),2,Non je ne fais partie d'aucune organisation,Non,"Je co-organise des évènements avec d'autres commerçants de ma ville, Je recommande et j'adresse des clients à d'autres commerces",,Je n'ai pas de voisins d'immeuble dans le cadre de mon commerce,,Oui,Alimentation & restauration,J'agis dès que je vois quelque chose d'inhabituel. J'interviens directement ou j'appelle les forces de l'ordre,Rarement (1 à 2 fois par an),Très rarement (moins d'une fois par an),Jamais,Bornes de recyclage pour piles électriques,,"Mise à disposition d'emballages réutilisables : sacs en tissu, pots en verre, etc, Choix de fournisseurs écoresponsables, Système de consigne pour les produits vendus en magasin",,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,J'ai parfois des discussions informelles sur le sujet,,Ponctuellement (1 à 2 fois par semaine),Rarement (1 à 2 fois par mois),"Non, mon commerce ne se situe pas dans un bâtiment classé","Verdissement (exemples : jardinières, pots de fleurs)"
LE TRAIT,76580,76709,Seine-Maritime,76,28,Oui,Dans un lieu de vente permanent / fixe,,,,Autres services,,,,,,,,,Conduite automobile,,Des services,"Non, je travaille avec des salariés / associés",Oui,1 à 20,Régulièrement (3 à 5 fois par semaine),Régulièrement (3 à 5 fois par semaine),0,,"Oui, avec des associations d'aide sociale et/ou humanitaire",Jamais,Je n'ai pas l'habitude de proposer quelque chose,,Très rarement (moins d'une fois par mois),"Oui, vers des services sociaux / assistante sociale",Très rarement (moins d'une fois par mois),0,Non je ne fais partie d'aucune organisation,Non,Cette situation ne s'applique pas à mon activité,,Je connais les habitants mais je n'ai pas l'occasion de rendre ces services,,Non,,J'ai rarement ou jamais affaire à ce genre de situation,,Jamais,Jamais,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,Autres,,Jamais,Très rarement (moins d'une fois par mois),"Non, mon commerce ne se situe pas dans un bâtiment classé",Je ne suis pas concerné par ce sujet dans le cadre de mon commerce
MARSEILLAN,34340,34150,Hérault,34,76,Oui,Dans un lieu de vente permanent / fixe,,,,"Café, hôtels, restaurants",,,,,,,,,,Traiteurs,Des produits fabriqués ou élaborés par moi(nous)-même(s),"Non, je travaille avec des salariés / associés",Oui,1 à 20,Régulièrement (3 à 5 fois par semaine),Très régulièrement (plusieurs fois par jour),0,Oui,"Oui, avec des associations d'aide sociale et/ou humanitaire",Rarement (1 à 2 fois par mois),"Accès à internet, Don de nourriture ou eau",,Rarement (1 à 2 fois par mois),"Oui, vers des services sociaux / assistante sociale",Rarement (1 à 2 fois par mois),0,Je fais partie d'une association de commerçants,Non,"Je réceptionne des colis pour d'autres commerçants de la rue, Je garde un oeil sur le magasin de mes collègues, Je recommande et j'adresse des clients à d'autres commerces",,"Je réceptionne des colis pour les habitants de mon immeuble, Je garde un oeil sur les appartements des habitants de mon immeuble en leur absence",,Non,,J'agis dès que je vois quelque chose d'inhabituel. J'interviens directement ou j'appelle les forces de l'ordre,Rarement (1 à 2 fois par an),Ponctuellement (1 à 2 fois par mois),Rarement (1 à 2 fois par an),Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,"Compost, Mise à disposition d'emballages réutilisables : sacs en tissu, pots en verre, etc, Utilisation de contenants durables : en verre, inox ou bois",,"Equipements économes en eau (exemple : robinets à faible débit), Equipements visant à réduire la consommation d'électricité (exemples : ampoules avec senseur de présence, multiprises avec timer)",,Autres,,Rarement (1 à 2 fois par mois),Très régulièrement (plusieurs fois par jour),"Non, mon commerce ne se situe pas dans un bâtiment classé","Verdissement (exemples : jardinières, pots de fleurs)"
ROUEN,76000,76540,Seine-Maritime,76,28,Oui,Dans un lieu de vente permanent / fixe,,,,Alimentaire,"Boulangerie, pâtisserie",,,,,,,,,,Des produits fabriqués ou élaborés par moi(nous)-même(s),"Non, je travaille avec des salariés / associés",Oui,100 et 200,Ponctuellement (1 à 2 fois par semaine),Très régulièrement (plusieurs fois par jour),0,Oui,Je n'ai pas l'habitude de collaborer avec des associations,Rarement (1 à 2 fois par mois),Café ou thé,,Régulièrement (3 à 5 fois par semaine),Je n'oriente pas ou alors rarement,,0,Non je ne fais partie d'aucune organisation,Non,"Je réceptionne des colis pour d'autres commerçants de la rue,J'offre des réductions sur des produits lorsqu'un autre commerçant vient dans mon magasin",,"Je réceptionne des colis pour les habitants de mon immeuble,J'offre des réductions sur des produits lorsqu'un habitant de mon immeuble vient dans mon magasin",,Non,,Je n'interviens jamais dans ce genre de situation,,Ponctuellement (1 à 2 fois par mois),Jamais,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,Je ne suis pas concerné par ce sujet dans le cadre de mon commerce,,Je ne communique pas sur le sujet,,Régulièrement (3 à 5 fois par semaine),Régulièrement (3 à 5 fois par semaine),"Oui, la façade ou l'immeuble est classé patrimoine historique et j'y apporte un soin particulier","Décoration de la rue,Embellissement et soin de la vitrine"
VILLEROUGE TERMENES,11330,11435,Aude,11,76,Oui,Dans un lieu de vente permanent / fixe,,,,Alimentaire,Alimentation générale,,,,,,,,,,Des produits fabriqués ou élaborés par d'autres,"Non, je travaille avec des salariés / associés",Oui,50 à 100,Très régulièrement (plusieurs fois par jour),Très régulièrement (plusieurs fois par jour),0,,Je n'ai pas l'habitude de collaborer avec des associations,Rarement (1 à 2 fois par mois),"Accès aux toilettes, Partenariat avec des associations d'aide humanitaire, Don de nourriture ou eau",,Très régulièrement (plusieurs fois par jour),"Oui, vers des services sociaux / assistante sociale",Très rarement (moins d'une fois par mois),0,Non je ne fais partie d'aucune organisation,Non,"Je réceptionne des colis pour d'autres commerçants de la rue, J'offre des réductions sur des produits lorsqu'un autre commerçant vient dans mon magasin, Je recommande et j'adresse des clients à d'autres commerces",,Je n'ai pas de voisins d'immeuble dans le cadre de mon commerce,,Non,,J'agis dès que je vois quelque chose d'inhabituel. J'interviens directement ou j'appelle les forces de l'ordre,Rarement (1 à 2 fois par an),Très rarement (moins d'une fois par an),Très rarement (moins d'une fois par an),"Bornes de recyclage pour piles électriques, Bornes de recyclage pour ampoules, Récupération de boîtes d'oeuf ou bocaux",,"Compost, Autres",les cartons d'emballage ont toujours une seconde vie car je m'en sers pour ranger les courses pour mes clients,"Equipements économes en eau (exemple : robinets à faible débit), Equipements visant à réduire la consommation d'électricité (exemples : ampoules avec senseur de présence, multiprises avec timer)",,Je ne communique pas sur le sujet,,Très rarement (moins d'une fois par mois),Ponctuellement (1 à 2 fois par semaine),"Non, mon commerce ne se situe pas dans un bâtiment classé","Verdissement (exemples : jardinières, pots de fleurs), Bancs et assises"
